n_drones,endurance,objective_value,elapsed_time
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,0.0,0.0
2,19,0.0,0.0
2,20,0.0,0.0
2,21,0.0,0.0
2,22,0.0,0.0
2,23,0.0,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,0.0,0.0
2,31,0.0,0.0
2,32,0.0,0.0
2,33,0.0,0.0
2,34,0.0,0.0
2,35,0.0,0.0
2,36,0.0,0.0
2,37,0.0,0.0
2,38,0.0,0.0
2,39,0.0,0.0
2,40,0.0,0.0
2,41,0.0,0.0
2,42,0.0,0.0
2,43,0.0,0.0
2,44,0.0,0.0
2,45,0.0,0.0
2,46,0.0,0.0
2,47,0.0,0.0
2,48,0.0,0.0
2,49,0.0,0.0
2,50,0.0,0.0
2,51,0.0,0.0
2,52,0.0,0.0
2,53,0.0,0.0
2,54,0.0,0.0
2,55,0.0,0.0
2,56,0.0,0.0
2,57,0.0,0.0
2,58,0.0,0.0
2,59,0.0,0.0
2,60,0.0,0.0
2,61,0.0,0.0
2,62,0.0,0.0
2,63,0.0,0.0
2,64,0.0,0.0
2,65,0.0,0.0
2,66,0.0,0.0
2,67,0.0,0.0
2,68,0.0,0.0
2,69,0.0,0.0
2,70,0.0,0.0
2,71,0.0,0.0
2,72,0.0,0.0
2,73,0.0,0.0
2,74,0.0,0.0
2,75,0.0,0.0
2,76,0.0,0.0
2,77,0.0,0.0
2,78,0.0,0.0
2,79,0.0,0.0
2,80,0.0,0.0
2,81,0.0,0.0
2,82,0.0,0.0
2,83,0.0,0.0
2,84,0.0,0.0
2,85,0.0,0.0
2,86,0.0,0.0
2,87,0.0,0.0
2,88,0.0,0.0
2,89,0.0,0.0
2,90,0.0,0.0
2,91,0.0,0.0
2,92,0.0,0.0
2,93,0.0,0.0
2,94,0.0,0.0
2,95,0.0,0.0
2,96,0.0,0.0
2,97,0.0,0.0
2,98,0.0,0.0
2,99,0.0,0.0
2,100,0.0,0.0
2,101,0.0,0.0
2,102,0.0,0.0
2,103,0.0,0.0
2,104,0.0,0.0
2,105,0.0,0.0
2,106,0.0,0.0
2,107,0.0,0.0
2,108,0.0,0.0
2,109,0.0,0.0
2,110,0.0,0.0
2,111,0.0,0.0
2,112,0.0,0.0
2,113,0.0,0.0
2,114,0.0,0.0
2,115,0.0,0.0
2,116,0.0,0.0
2,117,0.0,0.0
2,118,0.0,0.0
2,119,0.0,0.0
2,120,0.0,0.0
2,121,0.0,0.0
2,122,0.0,0.0
2,123,0.0,0.0
2,124,0.0,0.0
2,125,0.0,0.0
2,126,0.0,0.0
2,127,0.0,0.0
2,128,0.0,0.0
2,129,0.0,0.0
2,130,0.0,0.0
2,131,0.0,0.0
2,132,0.0,0.0
2,133,0.0,0.0
2,134,0.0,0.0
2,135,0.0,0.0
2,136,0.0,0.0
2,137,0.0,0.0
2,138,0.0,0.0
2,139,0.0,0.0
2,140,0.0,0.0
2,141,0.0,0.0
2,142,0.0,0.0
2,143,0.0,0.0
2,144,0.0,0.0
2,145,0.0,0.0
2,146,0.0,0.0
2,147,0.0,0.0
2,148,0.0,0.0
2,149,0.0,0.0
2,150,0.0,0.0
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.0,0.0
3,13,0.0,0.0
3,14,0.0,0.0
3,15,0.0,0.0
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0
3,19,0.0,0.0
3,20,0.0,0.0
3,21,0.0,0.0
3,22,1.02,0.001
3,23,0.0,0.0
3,24,1.9200000000000004,0.001
3,25,0.0,0.0
3,26,4.94,0.004
3,27,5.15,0.003
3,28,3.1,0.002
3,29,10.010000000000002,0.008
3,30,7.730000000000001,0.007000000000000001
3,31,6.75,0.006
3,32,6.15,0.005
3,33,8.930000000000001,0.007000000000000001
3,34,10.999999999999998,0.008
3,35,7.080000000000001,0.007000000000000001
3,36,13.1,0.009
3,37,10.38,0.009
3,38,10.17,0.009
3,39,11.13,0.009999999999999998
3,40,9.559999999999999,0.009
3,41,10.489999999999998,0.009
3,42,11.790000000000001,0.009
3,43,12.139999999999999,0.009999999999999998
3,44,11.67,0.009
3,45,11.240000000000002,0.009
3,46,11.320000000000002,0.009999999999999998
3,47,12.42,0.009999999999999998
3,48,12.670000000000002,0.009999999999999998
3,49,11.32,0.009999999999999998
3,50,12.66,0.009999999999999998
3,51,10.430000000000001,0.009999999999999998
3,52,13.829999999999998,0.009999999999999998
3,53,10.16,0.009
3,54,11.43,0.009999999999999998
3,55,11.4,0.009999999999999998
3,56,11.05,0.009999999999999998
3,57,13.290000000000001,0.011
3,58,11.95,0.009999999999999998
3,59,12.379999999999999,0.009999999999999998
