endurance,objective_value,elapsed_time
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,2.12,0.002
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,4.2,0.01
22,0.0,0.0
23,0.0,0.0
24,4.140000000000001,0.01
25,4.380000000000001,0.012
26,9.9,0.041999999999999996
27,10.560000000000002,0.034
28,9.38,0.05
29,9.7,0.052000000000000005
30,11.120000000000001,0.055999999999999994
31,8.580000000000002,0.038
32,9.040000000000001,0.030000000000000006
33,9.200000000000001,0.06
34,8.860000000000001,0.027999999999999997
35,8.520000000000001,0.030000000000000006
36,8.88,0.024
37,8.16,0.032
38,9.96,0.066
39,8.040000000000003,0.028000000000000004
40,9.66,0.046
41,8.780000000000001,0.026000000000000002
42,11.280000000000001,0.05
43,8.7,0.034
44,9.48,0.042
45,9.540000000000001,0.046000000000000006
46,9.42,0.03799999999999999
47,7.620000000000002,0.024
48,9.24,0.026000000000000002
49,9.280000000000001,0.032
50,9.78,0.034
51,8.82,0.028000000000000004
52,9.48,0.027999999999999997
53,8.34,0.026000000000000002
54,8.820000000000002,0.033999999999999996
55,8.040000000000001,0.026000000000000002
56,9.959999999999999,0.044000000000000004
57,8.52,0.03
58,9.6,0.038000000000000006
59,9.780000000000001,0.041999999999999996
60,9.060000000000002,0.022000000000000002
